######################################
Exploring the best parameters for the kernel mandel
using default
######################################
cpu,th,tw,threads,schedule,schedule_n,time
full_system,128,128,6,dynamic,3,3529.537
cortex,128,256,1,dynamic,3,12630.984
cortex,128,256,2,dynamic,3,6578.789
cortex,128,256,3,dynamic,3,5278.688
cortex,128,256,4,dynamic,3,4086.855
denver,128,256,1,dynamic,3,9190.508
denver,128,256,2,dynamic,3,4807.791
full_system,128,256,6,dynamic,3,2980.233
cortex,128,512,1,dynamic,3,12643.643
cortex,128,512,2,dynamic,3,7047.791
cortex,128,512,3,dynamic,3,5600.282
cortex,128,512,4,dynamic,3,5129.270
denver,128,512,1,dynamic,3,9223.878
denver,128,512,2,dynamic,3,5166.235
full_system,128,512,6,dynamic,3,4511.654
cortex,128,1024,1,dynamic,3,12643.538
cortex,128,1024,2,dynamic,3,7827.328
cortex,128,1024,3,dynamic,3,6076.516
cortex,128,1024,4,dynamic,3,6234.025
denver,128,1024,1,dynamic,3,9431.481
denver,128,1024,2,dynamic,3,5700.899
full_system,128,1024,6,dynamic,3,6265.182
cortex,256,64,1,dynamic,3,12653.440
cortex,256,64,2,dynamic,3,7303.700
cortex,256,64,3,dynamic,3,5858.389
cortex,256,64,4,dynamic,3,5278.440
denver,256,64,1,dynamic,3,9199.323
denver,256,64,2,dynamic,3,5320.568
full_system,256,64,6,dynamic,3,4934.741
cortex,256,128,1,dynamic,3,12674.539
cortex,256,128,2,dynamic,3,7647.803
cortex,256,128,3,dynamic,3,6596.393
cortex,256,128,4,dynamic,3,5829.616
denver,256,128,1,dynamic,3,9229.117
denver,256,128,2,dynamic,3,5546.115
full_system,256,128,6,dynamic,3,5065.030
cortex,256,256,1,dynamic,3,12660.570
cortex,256,256,2,dynamic,3,8439.011
cortex,256,256,3,dynamic,3,6648.805
cortex,256,256,4,dynamic,3,6325.129
denver,256,256,1,dynamic,3,9199.215
denver,256,256,2,dynamic,3,6135.006
full_system,256,256,6,dynamic,3,6251.477
cortex,256,512,1,dynamic,3,12651.255
cortex,256,512,2,dynamic,3,7926.877
cortex,256,512,3,dynamic,3,6045.777
cortex,256,512,4,dynamic,3,6059.767
denver,256,512,1,dynamic,3,9234.725
denver,256,512,2,dynamic,3,5795.374
full_system,256,512,6,dynamic,3,6085.334
cortex,256,1024,1,dynamic,3,12744.158
cortex,256,1024,2,dynamic,3,6904.966
cortex,256,1024,3,dynamic,3,6886.831
cortex,256,1024,4,dynamic,3,7277.491
denver,256,1024,1,dynamic,3,9411.507
denver,256,1024,2,dynamic,3,5048.043
cortex,512,64,1,dynamic,3,12676.767
cortex,512,64,2,dynamic,3,6568.808
cortex,512,64,3,dynamic,3,4772.040
cortex,512,64,4,dynamic,3,4044.365
denver,512,64,1,dynamic,3,9188.553
denver,512,64,2,dynamic,3,4799.179
full_system,512,64,6,dynamic,3,3655.634
cortex,512,128,1,dynamic,3,12604.752
cortex,512,128,2,dynamic,3,6494.375
cortex,512,128,3,dynamic,3,5401.904
cortex,512,128,4,dynamic,3,4717.800
denver,512,128,1,dynamic,3,9187.973
denver,512,128,2,dynamic,3,4779.453
full_system,512,128,6,dynamic,3,4843.395
cortex,512,256,1,dynamic,3,12674.158
cortex,512,256,2,dynamic,3,6544.457
cortex,512,256,3,dynamic,3,6167.536
cortex,512,256,4,dynamic,3,6165.884
denver,512,256,1,dynamic,3,9188.690
denver,512,256,2,dynamic,3,4867.808
full_system,512,256,6,dynamic,3,6395.538
cortex,512,512,1,dynamic,3,12677.593
cortex,512,512,2,dynamic,3,8601.675
cortex,512,512,3,dynamic,3,8691.549
cortex,512,512,4,dynamic,3,8779.746
denver,512,512,1,dynamic,3,9600.853
denver,512,512,2,dynamic,3,6557.225
cortex,512,1024,1,dynamic,3,12686.126
cortex,512,1024,2,dynamic,3,12648.231
denver,512,1024,1,dynamic,3,9590.637
denver,512,1024,2,dynamic,3,9572.885
cortex,1024,64,1,dynamic,3,12617.867
cortex,1024,64,2,dynamic,3,6929.780
cortex,1024,64,3,dynamic,3,5226.831
cortex,1024,64,4,dynamic,3,5110.157
denver,1024,64,1,dynamic,3,9611.355
denver,1024,64,2,dynamic,3,5261.026
full_system,1024,64,6,dynamic,3,5128.198
cortex,1024,128,1,dynamic,3,12663.369
cortex,1024,128,2,dynamic,3,7293.744
cortex,1024,128,3,dynamic,3,7383.839
cortex,1024,128,4,dynamic,3,7568.343
denver,1024,128,1,dynamic,3,9551.437
denver,1024,128,2,dynamic,3,5517.415
full_system,1024,128,6,dynamic,3,7403.180
cortex,1024,256,1,dynamic,3,12643.655
cortex,1024,256,2,dynamic,3,10993.396
cortex,1024,256,3,dynamic,3,11097.179
