######################################
Exploring the best parameters for the kernel blur2
using urrot2_neon_div8_u16
######################################
cpu,th,tw,threads,schedule,schedule_n,time
cortex,128,1024,2,static,3,382.763
cortex,128,1024,3,static,3,241.332
cortex,128,1024,4,static,3,242.713
denver,128,1024,1,static,3,368.660
denver,128,1024,2,static,3,234.019
full_system,128,1024,6,static,3,279.609
cortex,256,64,1,static,3,11563.158
cortex,256,64,2,static,3,5571.575
cortex,256,64,3,static,3,3820.215
cortex,256,64,4,static,3,2943.218
denver,256,64,1,static,3,8837.903
denver,256,64,2,static,3,4513.246
full_system,256,64,6,static,3,2851.974
cortex,256,128,1,static,3,5468.487
cortex,256,128,2,static,3,2660.029
cortex,256,128,3,static,3,2586.899
cortex,256,128,4,static,3,1636.721
denver,256,128,1,static,3,4406.713
denver,256,128,2,static,3,2226.254
full_system,256,128,6,static,3,1397.930
cortex,256,256,1,static,3,2538.170
cortex,256,256,2,static,3,1297.755
cortex,256,256,3,static,3,948.602
cortex,256,256,4,static,3,754.451
denver,256,256,1,static,3,2088.272
denver,256,256,2,static,3,1173.325
full_system,256,256,6,static,3,901.438
cortex,256,512,1,static,3,1186.430
cortex,256,512,2,static,3,696.339
cortex,256,512,3,static,3,612.551
cortex,256,512,4,static,3,608.245
denver,256,512,1,static,3,917.594
denver,256,512,2,static,3,528.067
full_system,256,512,6,static,3,621.000
cortex,256,1024,1,static,3,519.064
cortex,256,1024,2,static,3,415.180
cortex,256,1024,3,static,3,415.663
cortex,256,1024,4,static,3,425.606
denver,256,1024,1,static,3,312.119
denver,256,1024,2,static,3,225.884
cortex,512,64,1,static,3,10412.430
cortex,512,64,2,static,3,5660.557
cortex,512,64,3,static,3,4286.125
cortex,512,64,4,static,3,3158.562
denver,512,64,1,static,3,9094.172
denver,512,64,2,static,3,4870.260
full_system,512,64,6,static,3,3135.764
cortex,512,128,1,static,3,5030.120
cortex,512,128,2,static,3,2820.701
cortex,512,128,3,static,3,2442.165
cortex,512,128,4,static,3,1808.160
denver,512,128,1,static,3,4506.393
denver,512,128,2,static,3,2496.490
full_system,512,128,6,static,3,1602.250
cortex,512,256,1,static,3,2492.904
cortex,512,256,2,static,3,1671.528
cortex,512,256,3,static,3,1049.657
cortex,512,256,4,static,3,1010.106
denver,512,256,1,static,3,2146.531
denver,512,256,2,static,3,1422.796
full_system,512,256,6,static,3,1057.043
cortex,512,512,1,static,3,1164.738
cortex,512,512,2,static,3,752.781
cortex,512,512,3,static,3,794.293
cortex,512,512,4,static,3,757.318
denver,512,512,1,static,3,947.307
denver,512,512,2,static,3,564.936
cortex,512,1024,1,static,3,559.387
cortex,512,1024,2,static,3,548.485
denver,512,1024,1,static,3,305.723
denver,512,1024,2,static,3,282.856
cortex,1024,64,1,static,3,10580.061
cortex,1024,64,2,static,3,5700.050
cortex,1024,64,3,static,3,4532.308
cortex,1024,64,4,static,3,3826.571
denver,1024,64,1,static,3,9101.140
denver,1024,64,2,static,3,4828.261
full_system,1024,64,6,static,3,3355.402
cortex,1024,128,1,static,3,5055.922
cortex,1024,128,2,static,3,2924.566
cortex,1024,128,3,static,3,2256.190
cortex,1024,128,4,static,3,2266.526
denver,1024,128,1,static,3,4485.693
denver,1024,128,2,static,3,2610.199
full_system,1024,128,6,static,3,2156.061
cortex,1024,256,1,static,3,2454.798
cortex,1024,256,2,static,3,1408.600
cortex,1024,256,3,static,3,1401.995
cortex,1024,256,4,static,3,1439.705
denver,1024,256,1,static,3,2146.321
denver,1024,256,2,static,3,1224.015
cortex,1024,512,1,static,3,1190.413
cortex,1024,512,2,static,3,1197.996
denver,1024,512,1,static,3,932.351
denver,1024,512,2,static,3,940.697



# UNDER 200ms
cortex,64,1024,4,static,1,179.446
denver,64,1024,2,static,1,185.216
cortex,128,1024,4,static,1,169.527
denver,128,1024,2,static,1,151.925 ## BEST CONFIGURATION
cortex,256,1024,4,static,1,178.139
denver,256,1024,2,static,1,168.320
denver,512,1024,2,static,1,157.194 
cortex,64,1024,4,static,2,183.633
denver,64,1024,2,static,2,198.052
full_system,64,1024,6,static,2,194.730
cortex,128,1024,4,static,2,176.006
denver,128,1024,2,static,2,184.148
denver,256,1024,2,static,2,161.889
